Rank,Player,Player_ID,Points
1,Sinner Jannik,6HdC3z4H,11330
2,Zverev Alexander,dGbUhw9m,7945
3,Alcaraz Carlos,UkhgIFEq,6910
4,Fritz Taylor,UH09iaZ6,4900
5,Djokovic Novak,AZg49Et9,3860
6,Ruud Casper,zN9UpRqp,3855
7,Draper Jack,SWxNhpmK,3800
8,Medvedev Daniil,O8qG0Nhb,3680
9,Rublev Andrey,AeAn4gP0,3440
10,Tsitsipas Stefanos,hb6oWfc6,3405
11,De Minaur Alex,EZgZ9Xfh,3335
12,Rune Holger,2kRS8swG,3270
13,Paul Tommy,pd3ye1BS,3030
14,Shelton Ben,QNuG0Gzb,2980
15,Dimitrov Grigor,SQgEEKh4,2745
16,Musetti Lorenzo,xtH2ODVI,2650
17,Tiafoe Frances,AHDLJaph,2485
18,Fils Arthur,IoIhUqIN,2480
19,Auger-Aliassime Felix,CzXh4LAb,2415
20,Humbert Ugo,O4ywE5Ah,2375
21,Machac Tomas,S44E7UYr,2310
22,Hurkacz Hubert,zuHOBnY9,2205
23,Khachanov Karen,4bNPtZT5,2000
24,Cerundolo Francisco,lWQ3G6gB,1925
25,Korda Sebastian,SYklCTPO,1860
26,Popyrin Alexei,fJjLpuNq,1800
27,Lehecka Jiri,6PlgfXKR,1745
28,Shapovalov Denis,zXddgn9o,1716
29,Mpetshi Perricard Giovanni,ITe9m2F8,1656
30,Berrettini Matteo,OhwtM7N8,1580
31,Tabilo Alejandro,YgVnM5vO,1555
32,Nakashima Brandon,ETGnbrpH,1500
33,Michelsen Alex,nDIhfm9l,1465
34,Griekspoor Tallon,f3zfMU5i,1420
35,Arnaldi Matteo,hlVLAfZK,1410
36,Baez Sebastian,dd8jLjtO,1385
37,Thompson Jordan,8pwfoWMP,1375
38,Sonego Lorenzo,zVuMEJTT,1356
39,Davidovich Fokina Alejandro,0zQXLfz4,1325
40,Martinez Pedro,WtiN88eD,1295
41,Muller Alexandre,nLLdS9q0,1287
42,Borges Nuno,hzbEPIOa,1280
43,Cobolli Flavio,zDtaCcPe,1280
44,Etcheverry Tomas Martin,AXL5qpKa,1275
45,Giron Marcos,OWOgryOk,1240
46,Monfils Gael,fm7G8o0m,1230
47,Jarry Nicolas,W24W9IyU,1165
48,Kecmanovic Miomir,MTQ5CPOR,1161
49,Struff Jan-Lennard,Ek3bDDo2,1160
50,Bautista-Agut Roberto,riOJC5jb,1089
51,Bergs Zizou,SbeTx1o8,1065
52,Zhang Zhizhen,IFKEHRGG,1055
53,Carballes Baena Roberto,hj8fIZPg,1051
54,Mensik Jakub,UFj257G8,1042
55,Goffin David,bqic8RxG,1003
56,Munar Jaume,zZieQm4D,992
57,Halys Quentin,EDve8Ljh,981
58,Shang Juncheng,tvjTgE3J,975
59,Marozsan Fabian,I1mux0lj,965
60,Fonseca Joao,tv073LUc,955
61,Darderi Luciano,jeXTxMIp,945
62,Navone Mariano,YoPUeL3o,925
63,Bonzi Benjamin,M5OpGHqH,920
64,Nishikori Kei,YNkOjUIB,873
65,Ugo Carabelli Camilo,KWdgY7Bq,870
66,Tien Learner,xUHOBJK6,867
67,Comesana Francisco,SxKK0RUD,866
68,Nishioka Yoshihito,neAMoGXa,859
69,Bu Yunchaokete,Qabjt3Y5,855
70,Dzumhur Damir,hMrlbuuQ,852
71,Safiullin Roman,IBpggNog,851
72,Bellucci Mattia,M9pojLqi,838
73,Medjedovic Hamad,nDcBkcu7,829
74,Rinderknech Arthur,pIxZZsof,821
75,Djere Laslo,4GGnypTh,821
76,Moutet Corentin,bX0EWcV9,814
77,Vukic Aleksandar,O2CmIROi,814
78,O'Connell Christopher,SptFeDiE,805
79,Kovacevic Aleksandar,AudsF90U,800
80,Bublik Alexander,t0WN9vR6,785
81,Norrie Cameron,pvzhJGY8,784
82,Altmaier Daniel,IPR8h9gM,783
83,Fearnley Jacob,pGBaKGOn,770
84,Nardi Luca,pfrQxVu7,762
85,Van De Zandschulp Botic,YwiLpILD,760
86,Hijikata Rinky,f9eT4NTQ,752
87,Diallo Gabriel,2TgBLj6G,730
88,Gaston Hugo,hGqnSub7,711
89,Walton Adam,jNRjAU1U,666
90,Fucsovics Marton,GhQFzFli,666
91,Collignon Raphael,xzJGXJ6t,652
92,Faria Jaime,ETojuYQP,649
93,Kokkinakis Thanasi,rBm7dcxH,648
94,Passaro Francesco,6iHVMexn,646
95,Duckworth James,2JWHPUUb,638
96,Seyboth Wild Thiago,pO9zJCv1,617
97,Fognini Fabio,OEmFxtMq,607
98,Shevchenko Alexander,jTIB3FIA,598
99,Monteiro Thiago,YqLucTlj,590
100,Basavareddy Nishesh,rqtJueQt,585
101,McDonald Mackenzie,WWi3O0v6,575
102,Kotov Pavel,809HrNqi,573
103,Dellien Hugo,fkLRaqYe,566
104,Eubanks Christopher,roxxrh4k,563
105,De Jong Jesper,8jStUWzB,562
106,Pouille Lucas,ro2eiAkm,559
107,Harris Billy,G0X2O6XR,558
108,Lajovic Dusan,bJf33z45,555
109,Carreno-Busta Pablo,W8WmcXdq,554
110,Galan Daniel Elahi,jgzV6009,532
111,Boyer Tristan,lYHOmg6t,531
112,Coric Borna,QZdb3dWH,530
113,Hanfmann Yannick,zLJYYbhm,529
114,Opelka Reilly,fqKkCJdJ,529
115,Tseng Chun Hsin,SlYNMbDS,529
116,Holt Brandon,GtTV1GfD,528
117,Tirante Thiago Agustin,jBkGDj34,512
118,Cazaux Arthur,bJR9AFq5,508
119,Daniel Taro,h4fpmGci,485
120,Majchrzak Kamil,fPZlNrGS,482
121,Royer Valentin,IFGPWCuI,482
122,Kopriva Vit,EHGKxKDL,481
123,Moreno De Alboran Nicolas,OGLM2tDB,468
124,Coria Federico,vJdE1Bg7,466
125,Ritschard Alexander,ELceBHcR,466
126,Cerundolo Juan Manuel,A93TM7BR,461
127,Kovalik Jozef,dAbTjNiB,460
128,Purcell Max,GMK1R241,456
129,Schoolkate Tristan,hn8XQkiU,450
130,Kym Jerome,0dNeJ8OB,449
131,Ofner Sebastian,h6vs3iR2,448
132,Mayot Harold,jPfM16Z1,445
133,Virtanen Otto,hnYnFaTm,440
134,Spizzirri Eliot,tSMeRRDm,434
135,Quinn Ethan,fDEtnFgg,432
136,Garin Cristian,U73k5I15,431
137,Burruchaga Roman Andres,CE7B5N90,430
138,Gomez Federico Agustin,SCQXS9So,429
139,Nagal Sumit,46aHbwDc,428
140,Diaz Acosta Facundo,AsRYv2m2,423
141,Krueger Mitchell,j9Kf20T0,416
142,Harris Lloyd,YyK3wlb0,416
143,Cilic Marin,nLoK5syL,413
144,Basilashvili Nikoloz,Kb8ttRy2,412
145,Mannarino Adrian,fLOdtByM,411
146,Landaluce Martin,AoOnGZEp,411
147,Koepfer Dominik,AmrI05YH,398
148,Gasquet Richard,GxY5TctR,398
149,Barrios Vera Tomas,Ewzudtxk,388
150,Herbert Pierre-Hugues,vD0zNRBM,383
151,Jacquet Kyrian,KGKot0sk,376
152,Heide Gustavo,6krWmGif,375
153,Moro Canas Alejandro,MkI9xkTq,375
154,Uchiyama Yasutaka,vD2Ddcni,375
155,Mochizuki Shintaro,KrwvlzXb,374
156,Moller Elmer,SU8MMreH,370
157,Barrere Gregoire,GMcjaMop,367
158,Blanchet Ugo,pSmNT7D2,360
159,Galarneau Alexis,EHhqit59,359
160,Kukushkin Mikhail,OSUB7Jy0,358
161,Rocha Henrique,b7jXvxef,358
162,Ficovich Juan Pablo,WpchB57t,356
163,Blockx Alexander,xll0TzGG,354
164,Trungelliti Marco,dQJqWoGg,354
165,Svrcina Dalibor,vDue624T,351
166,Klein Lukas,O49b2LJR,350
167,Ajdukovic Duje,n11bz7QK,345
168,Wawrinka Stan,Uo9lu6le,339
169,Hemery Calvin,fse58iGB,337
170,Taberner Carlos,EcdVVulk,332
171,Tu Li,6JHGYtjI,331
172,Huesler Marc-Andrea,4YcyuHl1,330
173,Kachmazov Alibek,Yko3C909,330
174,van Assche Luca,nP9K42Bg,329
175,Skatov Timofey,h6n0i9iE,328
176,Meligeni Alves Felipe,rLEXNv74,320
177,Habib Hady,baBp6CDD,320
178,Choinski Jan,Es82hMVD,319
179,Draxl Liam,IiUa42eG,318
180,Atmane Terence,6mkEQ279,317
181,Trotter James Kent,n15mxYdM,317
182,Wong Chak Lam Coleman,zJqvgzz6,312
183,Evans Daniel,Ya9jkSU5,311
184,McCabe James,2uDohcK5,310
185,Gigante Matteo,r3iKpV0F,306
186,Mena Facundo,GALIwHH5,306
187,Vallejo Adolfo Daniel,U5RiWEZu,306
188,Shimabukuro Sho,86URR6MP,304
189,Albot Radu,OnoPKE7m,303
190,Mejia Nicolas,QcT8wHe4,302
191,Lestienne Constant,OluISvVP,299
192,Bolt Alex,APTOWTED,297
193,Bouquier Arthur,CUPnYxhl,297
194,Gaubas Vilius,j3oO3m94,295
195,Karatsev Aslan,WYVhbvBF,292
196,Shimizu Yuta,MmFrgePQ,291
197,Rodionov Jurij,CKjcTLz1,290
198,Collarini Andrea,zuoQSpCN,290
199,Brouwer Gijs,MwKZZs1c,289
200,Holmgren August,QTqxSQsj,287
201,Butvilas Edas,dzjDrygR,285
202,Smith Colton,IHCZRRUJ,284
203,Svajda Zachary,vynGYhMa,284
204,Grenier Hugo,dQsvQVYi,283
205,Lajal Mark,2q51si8O,282
206,Dougaz Aziz,0YI8tRD1,277
207,Hassan Benjamin,W66euka4,277
208,Squire Henri,rHjMHCoj,276
209,Neumayer Lukas,4ffrgw5a,273
210,Marterer Maximilian,S8iqjxWH,271
211,Onclin Gauthier,dtG17O9l,270
212,Droguet Titouan,A57Xet1f,265
213,Escoffier Antoine,GEizcmDF,265
214,Watanuki Yosuke (1998),Wnd2lAr6,264
215,Zhukayev Beibit,pxo4hgC3,263
216,Buse Ignacio,A1LQjAPb,261
217,Jubb Paul,EqHBaC5N,260
218,Ruusuvuori Emil,MRVzCh5U,258
219,Tomic Bernard,fVQY2TUC,258
220,Arnaboldi Federico,pjpMXa88,257
221,Sultanov Khumoyun,QTHn3MYj,256
222,Dellien Velasco Murkel Alejandro,tGnlFo7P,256
223,Cassone Murphy,O4aHjdoE,252
224,Kasnikowski Maks,IozAI7OM,250
225,Ramos-Vinolas Albert,bHLexrv0,249
226,Hsu Yu Hsiou,WxwHu3lG,245
227,Noguchi Rio,fa2H5LnC,245
228,Rincon Daniel,67MpdccF,240
229,Pacheco Mendez Rodrigo,lfCDHN1s,240
230,Wu Tung-Lin,roESOGVH,238
231,Andreev Adrian,8zKQSxfi,236
232,Hong Seong Chan,zFBwTnJ4,235
233,Debru Gabriel,OQ5qBfOB,235
234,Jasika Omar,lOWZLw6o,234
235,Nava Emilio,AJGo8fir,231
236,Varillas Juan Pablo,SdnbvebA,231
237,Gengel Marek,bFThaUAS,230
238,Vavassori Andrea,EVknmLDE,229
239,Couacaud Enzo,E1tb37ao,229
240,Rehberg Max Hans,8AjWdU1N,229
241,Jianu Filip Cristian,CpC7C67k,227
242,Bai Yan,WvdnBOBU,226
243,Barranco Cosano Javier,40tI0oyF,226
244,Soto Matias,ChWlBYr1,225
245,Popko Dmitry,vaYnE8tL,225
246,Misolic Filip,CfH4SF3G,224
247,Hardt Nick,QaQOIXla,224
248,Durasovic Viktor,Wv6uZNr5,224
249,Wolf Jeffrey John,f5Zc3wW6,221
250,Ferreira Silva Frederico,hC8yrUdb,220
251,Napolitano Stefano,pKG0p9mP,219
252,Roca Batalla Oriol,Auos4BEK,219
253,Gueymard Wayenburg Sascha,OdbfkgxD,219
254,Andrade Andres,fLLaEvj2,216
255,Martin Tiffon Pol,j52KZBSr,216
256,Rodesch Chris,W4Zy6yMb,215
257,Guillen Meza Alvaro,6HCUWrxA,215
258,Yevseyev Denis,p2DCoR3r,215
259,Den Ouden Guy,Gh8e3v78,213
260,Oliveira Goncalo,fRdMEMmI,213
261,Ymer Elias,GhVfMwlD,212
262,Martineau Matteo,IDkmT0Hj,211
263,Pellegrino Andrea,ENPUiYgk,210
264,Bueno Gonzalo,UZR4t48n,210
265,Vacherot Valentin,rFqoSYd8,208
266,Piros Zsombor,2BC3jj8o,203
267,Sanchez Jover Carlos,fLXWkLuE,203
268,Chidekh Clement,E1Wpe7Co,203
269,Giustino Lorenzo,8OSeMYq1,203
270,Shelbayh Abedallah,AZ4zdtZb,201
271,Bertrand Robin,2mcblDiJ,201
272,Stricker Dominic,zViwxgir,199
273,Sharipov Marat,GtQpXmDE,197
274,Torres Juan Bautista,p2teWfrT,197
275,Sell Karue,pKOqdm4d,195
276,Houkes Max,00P4vHo8,193
277,Sun Fajing,nX9b6kfH,192
278,Janvier Maxime,S4riPNES,190
279,Kuzmanov Dimitar,WEwUtEGs,190
280,Travaglia Stefano,KAYoXgme,190
281,Maestrelli Francesco,jsdn0W9I,189
282,Simakin Ilia,OOU52gdD,188
283,Mayo Aidan,2mEGNcVp,188
284,Erhard Mathys,ngZLM7eO,187
285,Bertola Remy,OWVm6y0g,187
286,Cachin Pedro,YL7Z0Lq0,186
287,Mmoh Michael,dCvHbO15,186
288,Monday Johannus,AZ8DoX8b,186
289,Zahraj Patrick,lbaTxENF,186
290,Blancaneaux Geoffrey,EFwAtztn,184
291,Sels Jelle,b98aFqya,183
292,Alves Mateus (2001),Ao5rMlse,181
293,Riedi Leandro,xWqoD8zh,180
294,Dodig Matej,2wbou5PR,179
295,Poljicak Mili,COLpkwNk,179
296,Klizan Martin,U5DFj5Xg,177
297,Negritu Christoph,vseRxk6I,177
298,Clarke Jay,pWyUazPi,177
299,Ellis Blake,jZBNKio1,177
300,Berankis Ricardas,n5UoA5NP,175
301,Guinard Manuel,Yi4YPuke,174
302,Prado Angelo Juan Carlos,0vH8F28D,174
303,Geerts Michael,jVP5NQJK,174
304,Alvarez Varona Nicolas,E1063J6l,173
305,Gea Arthur,M5Nr6FTR,173
306,Budkov Kjaer Nicolai,Gj3CGbX5,172
307,Midon Lautaro,t6jmJKD3,172
308,Ovcharenko Oleksandr,S6c1hQe6,170
309,Schwaerzler Joel Josef,0W4qKuuF,170
310,Rodriguez Taverna Santiago,j96bbAfd,170
311,Broom Charles,pblgp6C1,169
312,Pavlovic Luka,Mkf0LF4j,168
313,Cui Jie,8vpMjg1k,168
314,Dalla Valle Enrico,be9jPNnl,168
315,Berrettini Jacopo,lG0YbDkR,167
316,Kirkin Ergi,GAW9kDss,167
317,Brunold Mika,AqiRBgj5,166
318,Gakhov Ivan,KWlcYfH2,166
319,Vatutin Alexey,SfMud4es,164
320,Prihodko Oleg,Qku8VLoC,163
321,Dutra Da Silva Daniel,fcfe6yoB,162
322,Cressy Maxime,MaNZAMHS,161
323,Molleker Rudolf,6RBmhB5N,161
324,Olivieri Genaro Alberto,lnHtsdAT,160
325,Coppejans Kimmer,67EJxseJ,159
326,Langmo Christian,GfOtYH8n,159
327,Denolly Corentin,hbtADxXG,159
328,Zeppieri Giulio,UkpY2sR5,158
329,Lock Benjamin,SIBro5R7,158
330,Sakamoto Rei,AeBHWNls,157
331,Coulibaly Eliakim,fDyAJ1Qn,157
332,Elias Gastao,pWUxlkbN,157
333,Martin Andrej,UXiCkoiq,156
334,Zapata Miralles Bernabe,db9LlbLI,156
335,Chazal Maxime,0YR4Uukr,156
336,Marti Pujolras Alex,dxjELWFL,156
337,Novak Dennis,dCXcom4e,154
338,Imamura Masamichi,n7tjloOD,154
339,Rosenkranz Mats,tYgxYrjJ,153
340,Paul Jakub,l2BOTfoQ,152
341,Vincent Ruggeri Samuel,Y7drHogh,151
342,Merida Aguilar Daniel,WOtXbAu5,150
343,Schwartzman Diego,lxOVoutC,149
344,Michalski Daniel,hbOTyYSO,148
345,Pucinelli de Almeida Matheus,6J1eXqaF,148
346,Prizmic Dino,YcluY2Zi,147
347,Mager Gianluca,trJVIrf4,146
348,Soriano Barrera Adria,xCD2BANp,146
349,Sanchez Izquierdo Nikolas,6gnbtDJM,146
350,Cecchinato Marco,4zpGaSnG,145
351,Sakamoto Pedro,E9z4tGK2,145
352,Sekulic Philip,Wtdzeazm,144
353,Engel Justin,0jZZcT1N,144
354,Topo Marko,UJf3ehr1,144
355,Vesely Jiri,MZOsgqwe,144
356,Cretu Cezar,0xqR9dG1,143
357,Picchione Andrea,UgYMlRTa,143
358,Pinnington Jones Jack,jRDvhb4q,142
359,Peniston Ryan,E7o4KyVI,141
360,Mikrut Luka,Wv7XRRCI,141
361,Kodat Toby,MglLDWmj,141
362,Nakagawa Naoki,zZkuhcIL,140
363,Tabur Clement,fHPZtbgE,139
364,Ionel Nicholas David,rZoAMC0F,139
365,Bar Biryukov Petr,KtZmtx2f,138
366,van Wyk Kris,jeDGVoLd,138
367,Crawford Oliver,2VE4Ko5r,137
368,Uchida Kaichi,CWzmZ02f,137
369,Zhou Yi,SbSmfis2,136
370,Polmans Marc,2TDsBEcH,136
371,Barton Hynek,UoDybC2H,136
372,Kwon Soonwoo,pKuUGzw2,135
373,Olivo Renzo,xftLMguk,135
374,Henning Philip,UoCPYDYg,134
375,Roncadelli Franco,Aw1hl8Sn,134
376,Sachko Vitaliy,48tkf3Wn,133
377,Strombachs Robert,vkHiVp09,133
378,Ambrogi Luciano Emanuel,zuhsTKYK,133
379,Boitan Gabi Adrian,0Y4LAw2l,131
380,Reis Da Silva Joao Lucas,0fnJ8Cja,130
381,Fonio Giovanni,GnIfbWHR,130
382,Hussey Giles,8AO4DtCh,128
383,Kozlov Stefan,hI2zuuMo,128
384,Kopp Sandro,juk28X9Q,128
385,Ilagan Andre,GbjJTs06,127
386,Llamas Ruiz Pablo,QTqDJ1gP,126
387,Zakharov Alexey,z5zQWPlr,126
388,Pennaforti Gabriele,SxwJ0Dpr,125
389,Kubler Jason,Ua0d9NLL,124
390,Searle Henry,pxCBWTvS,123
391,Nanda Govind,YybLIQyl,122
392,Johns Garrett,r9hKDU3U,122
393,Dellavedova Matthew,0AnInLXj,122
394,Gerasimov Egor,v5mY2VHL,121
395,Glinka Daniil,bimjKJAE,121
396,Campana Lee Gerard,vkMPd6E0,121
397,Lingua Lavallen Alejo Lorenzo,8tL6uZFb,120
398,Marmousez Lilian,2q0LOTtF,120
399,Kolar Zdenek,rwvvD1sO,120
400,Bagnis Facundo,WpBznQ9s,119
401,Gombos Norbert,bDFSqjSo,119
402,Nijboer Ryan,Yexh5F5g,119
403,Bouzige Moerani,M1nh93mm,119
404,Kuhn Nicola,Iux6BbzO,118
405,Samrej Kasidit,rHpmZ6Vg,118
406,Vrbensky Michael,CAHWb37o,118
407,Fery Arthur,SKxbA6KA,117
408,Seggerman Ryan,YqIc03QP,117
409,Alcala Gurri Max,pISmOkA6,117
410,Villanueva Gonzalo,OQxrsJs8,117
411,Justo Guido Ivan,CjaTkiTr,117
412,Matusevich Anton,MZ72o2uf,116
413,Maloney Patrick,O0rbwCc1,116
414,Fatic Nerman,QZIFxzuF,116
415,Araujo Pedro,pWn0oS7f,116
416,Agamenone Franco,E9dx5gGD,115
417,Weis Alexander,WrQG2Nqo,115
418,De Loore Joris,hfRpvqB0,114
419,Karlovskiy Evgeny,dbMa7RZA,114
420,Ursu Vadym,ENsOeB1H,114
421,Wu Yibing,8ASNvPfK,113
422,Casanova Hernan,nDzZi0PI,113
423,Tiurnev Evgenii,GOP8Y3Rf,113
424,Kypson Patrick,8W9dxtVO,113
425,Zink Tyler,prfZnfX1,112
426,Gojo Borna,px9AXG3g,111
427,Gray Alastair,2PmpIG6p,111
428,Braswell Micah,8MKxjn4e,111
429,Piraino Gabriele,2VTqlA8l,111
430,Jorda Sanchis David,plc0lDOK,110
431,Oberleitner Neil,C02ZcN0K,110
432,Brancaccio Raul,Ec4ddDyl,109
433,Pokorny Lukas,YZZma2ED,109
434,Damas Miguel,U1rIGv6n,108
435,Poullain Lucas,0OqIBG1T,108
436,Karol Milos,fqyp0ra7,108
437,Moriya Hiroki,AkljckX2,108
438,Loffhagen George,dIeJbHWb,107
439,Masur Daniel,ERWd0Gpm,106
440,Compagnucci Tommaso,ETKnHZom,106
441,Cina Federico,lvlXwMKk,105
442,Purtseladze Saba,OI2qf1Ze,104
443,Nicod Jakub,bXDP9OZ5,102
444,Sasikumar Mukund,AHPRXol6,102
445,Popovic Stefan,86SsOMq6,102
446,Paris Tom,0CWQEozd,101
447,Raonic Milos,8dRfslyR,100
448,Nesterov Petr,OvQcnjPp,100
449,Boscardin Dias Pedro,4vuKo3sT,99
450,Cid Subervi Roberto,CEMftmEG,98
451,Ramanathan Ramkumar,WMML87Fg,97
452,Cadenasso Gianluca,ridg32kn,97
453,Escobedo Ernesto,4l0IRLGR,97
454,Artnak Bor,2XEwnKpM,97
455,Sakellaridis Stefanos,2Dmhcv8C,97
456,Gerch Lucas,65MSZiib,96
457,De Krom Michiel,llj0ORAC,96
458,Isomura Kokoro,YXvdyprk,96
459,Gentzsch Tom,IgniZQN6,96
460,Pecci Alessandro,KAm5zaxg,95
461,Marie Jules,fJ78deff,95
462,Pereira Tiago,U1XJJHtq,94
463,Lokoli Laurent,ITXDs0et,92
464,Parker Stuart,tSMxmjU3,92
465,Agafonov Egor,j9U3UOQN,92
466,Farjat Tomas,fqOHNblU,91
467,Rai Ajeet,hQ2xWq4l,90
468,Damm Martin (2003),vX7WOXtP,89
469,Bertran Peter,xG1pDfib,89
470,McHugh Aidan,6mqo5tyC,88
471,Rodriguez Lorenzo Joaquin,xdHROE39,88
472,Bakshi Aleksandre,6i3rVodO,88
473,Luz Orlando,vTTQuqa9,87
474,Tudorica Alvin Nicholas,WftOsQiS,87
475,Gulin Svyatoslav,zsPR6kKa,87
476,Delaney Jake,QLcrkhjd,87
477,Tomescu Dan Alexandru,Olg6OER6,86
478,Iannaccone Federico,4OUbV0RG,86
479,Neuchrist Maximilian,U9mh3y5G,85
480,Moeller Marvin,W4qdFpGM,85
481,Kudla Denis,QFBrBWZf,85
482,Mott Blake,2mN5CUjs,85
483,Aboian Valerio,6BsiXzTM,85
484,Binda Alexandr,pY05SOxc,85
485,Dostanic Stefan,jiqOrpb5,84
486,Juarez Facundo,6JuNHbeH,84
487,Aguilar Juan Carlos Manuel,rwlfWinj,84
488,Juszczak Pawel,tb9STLHB,84
489,Lopez Montagud Carlos,nsBSIUxP,84
490,Singh Karan,fRgO5Du3,84
491,Kestelboim Mariano,2BfFVH4T,83
492,Borg Leo,CrZJzDe5,83
493,Edmund Kyle,E3lS9LXS,82
494,Martin Andres,h2AG5rdm,82
495,Echargui Moez,65tqemRH,82
496,Vale Duarte,YPycxPWg,82
497,Celikbilek Altug,Offsrwmn,81
498,Agwi Michael,vHrsxJcB,81
499,Bax Florent,bLE16tQq,81
500,Forejtek Jonas,A5HTcR5k,80
501,Added Dan,bwW3LbI0,80
502,Wiskandt Max,lzBiylEd,80
503,Broska Florian,8K76hSpA,79
504,Bouquet Lucas,pWZHwGON,79
505,Dzhavakian Yurii,ATs6urG2,79
506,Paulson Andrew,WWJOSBMH,78
507,Montes-De La Torre Inaki,4CYXUVX7,78
508,Ayeni Alafia,d4vwHiRI,78
509,Kuzuhara Bruno,URBLJ17n,78
510,Vanshelboim Eric,0YMC7sFJ,78
511,Bourgue Mathias,xOhWcTc9,77
512,Safwat Mohamed,MDyQME8o,76
513,Pereira Jose,SdpLSvYD,76
514,Pannu Kiranpal,tb10e1Kh,76
515,Colson Tibo,x4TcE4Pj,76
516,Krumich Martin,WKaCDElC,76
517,Fajta Peter,MVwWjWGT,76
518,Basic Mirza,WhcgnWej,75
519,Takahashi Yusuke,2kYVdoCo,75
520,Serafini Marcello,b1cyvN26,75
521,Perez Alfredo,8vjigtqh,74
522,Guerrieri Andrea,KEeikKZL,74
523,Bondioli Federico,8nVLxFhJ,74
524,Barroso Campos Alberto,fFWhIUQL,73
525,Bonadio Riccardo,WSUTomlE,72
526,Corwin Felix,zwYLwS2P,72
527,Palosi Stefan,G6OSMRoI,72
528,Kivattsev Kirill,lYTGGh9p,72
529,Bobrov Bogdan,nNUXcRJe,72
